headline,date,doc_type,material_type,section,keywords
Daily News Newsroom Cut in Half by Tronc as Top Editor Is Ousted,2018-07-23,article,News,,"['Newspapers', 'Layoffs and Job Reductions']"
What the Heck Is That?,2018-07-23,article,News,,"['Crossword Puzzles', 'Music']"
Police Officers Lip-Sync as Part of Public Relations Dance,2018-07-23,article,News,,"['Police', 'Public Relations and Publicity', 'Blacks', 'Black People', 'Police Brutality, Misconduct and Shootings', 'Video Recordings, Downloads and Streaming', 'News and News Media']"
Canned Heat!,2018-07-23,article,News,,"['Cooking and Cookbooks', 'Recipes']"
Two Killed in Toronto Shooting,2018-07-23,multimedia,Video,,"['Murders, Attempted Murders and Homicides']"
I Can’t Believe It’s Chickpea Water,2018-07-23,article,News,,"['Butter', 'Chickpeas']"
"For a Cleaner Grater, Grab the Tea Whisk",2018-07-23,article,News,,['Cooking and Cookbooks']
Dirk Nowitzki Signs One-Year Deal With the Dallas Mavericks,2018-07-23,article,News,,['Basketball']
Colorful Focaccia and Cookies in NoMad,2018-07-23,article,News,,"['Bakeries and Baked Products', 'Focaccia', 'Cookies']"
The Time for Apricots Is Now,2018-07-23,article,News,,"['APRICOTS', 'Local Food']"
Visit a Scotch Distillery From the Comfort of Grand Central,2018-07-23,article,News,,['Whiskey']
Preserving Pantry Staples,2018-07-23,article,News,,"['Cooking and Cookbooks', 'Canning and Preserving']"
The Liquid Gold in Your Skillet,2018-07-23,article,News,,"['Cooking and Cookbooks', 'Recipes', 'Poultry']"
Larry David: The Most Important Meal of the Day,2018-07-23,article,Op-Ed,,['United States Politics and Government']
How One Great Song Can Transform a Love Scene,2018-07-23,multimedia,Interactive Feature,,[]
Why You Should Never Skip the Opening Credits,2018-07-23,multimedia,Interactive Feature,,[]
How One Striking Music Video Bends Gender and Genre,2018-07-23,multimedia,Interactive Feature,,"['Video Recordings, Downloads and Streaming', 'Dancing', 'Pop and Rock Music']"
Who Was the Real Lorax? Seeking the Inspiration for Dr. Seuss,2018-07-23,article,News,,"['Writing and Writers', 'Environment']"
